,bm,cash,cashdebt
alpha,-0.015332286439643125,2.4883837190368854e-05,0.006026561410964639
beta_mkt,0.8698669078737045,0.7511574169448201,0.7062948052357994
beta_smb,0.24788976093806442,0.5100639613463271,0.46565356429402605
beta_vmg,0.28237671944959575,-0.28661379695834804,-0.1790574954895604
t_alpha,-4.419994266845869,0.009674842869602969,2.2690282792695915
r_squared,0.7338870055702482,0.8659928948327048,0.830836089417997
r_squared_adj,0.7293509886197411,0.8637086828128078,0.8279526136694402
