,month,mkt,smb,vmg
0,2000-07,-0.005824,,
1,2000-08,0.022394,,
2,2000-09,-0.090262,,
3,2000-10,-0.004713,,
4,2000-11,0.013715,,
5,2000-12,-0.024817,,
6,2001-02,-0.07750199999999999,,
7,2001-03,0.058826,,
8,2001-04,-0.005516999999999999,,
9,2001-05,0.034667,,
10,2001-06,-0.057236,,
11,2001-07,-0.19667300000000001,,
12,2001-08,-0.062015,,
13,2001-09,0.06926600000000001,,
14,2001-10,0.052128,,
15,2001-11,0.017085,,
16,2001-12,-0.09810499999999998,,
17,2002-01,-0.250923,,
18,2002-03,0.07192000000000001,,
19,2002-04,0.233829,,
20,2002-05,-0.168212,,
21,2002-06,0.280501,,
22,2002-07,-0.10119662833269966,,
23,2002-08,-0.010955046133590031,,
24,2002-09,-0.08460773091540161,,
25,2002-10,-0.06099788418656819,,
26,2002-11,0.050745937660603896,,
27,2002-12,-0.0977463488322663,,
28,2003-01,0.14990704081339443,,
29,2003-02,0.022343509294402816,,
30,2003-03,-0.014717800464132829,,
31,2003-04,-0.02575749546966038,,
32,2003-05,0.09196628524906991,,
33,2003-06,-0.02221486790526919,,
34,2003-07,0.06369889639059842,,-0.029883000000000007
35,2003-08,-0.07397635175383052,,0.006371999999999996
36,2003-09,-0.032069148716553385,,
37,2003-10,0.0023160031511370383,,
38,2003-11,0.05686325692649763,,
39,2003-12,0.1466623635682865,,
40,2004-02,0.06613182881380393,,
41,2004-03,0.03520477098938439,,
42,2004-04,-0.09580366314960362,,
43,2004-05,0.0393867520404587,,
44,2004-06,-0.09562235046189736,,
45,2004-07,0.04000627515025484,,
46,2004-08,-0.04810077034036272,,
47,2004-09,0.0593544722607666,,
48,2004-10,-0.026063231900001985,,
49,2004-11,0.02549194765041248,,
50,2004-12,-0.04507866761810651,,
51,2005-01,-0.0482524048426559,,
52,2005-03,-0.03021367717029744,,
53,2005-04,0.008896893396949056,,
54,2005-05,-0.1058918194184036,,
55,2005-06,0.03855897490278578,,
