,month,bm,cash,cashdebt,rd_sale
0,2007-01,0.1776344488372093,0.22380080465116278,0.16524956744186045,
1,2007-02,0.1852912947368421,0.09970131394025605,0.07396524736842104,
2,2007-03,0.11425486382978722,0.0944528425531915,0.09618979999999999,
3,2007-04,0.22510056250000005,0.22880857500000001,0.29757912499999994,
4,2007-05,0.01231510859903382,0.0625519290821256,0.050823330772946845,
5,2007-06,-0.19522002708333333,-0.07001564583333332,-0.04173222083333333,
6,2007-07,0.16697416530612247,0.16985372244897962,0.1522130224489796,
7,2007-08,0.058976641666666677,0.06645882916666668,0.05387362083333332,
8,2007-09,0.05246655714285713,0.001805424489795919,0.024640891836734694,
9,2007-10,-0.11025793958333333,-0.04386907708333332,-0.02239568125,
10,2007-11,-0.05420163877551021,-0.06895776530612245,-0.08469735918367348,
11,2007-12,0.11298311428571428,0.19360821836734696,0.17411805714285716,
12,2008-01,-0.09023407800000001,-0.064078758,-0.04275972800000001,
13,2008-02,0.04804733599999999,0.03740632200000001,0.04471030399999999,
14,2008-03,-0.18011213333333334,-0.13997091960784314,-0.1600820980392157,
15,2008-04,-0.07558050196078432,0.02607624901960785,0.08726841960784314,
16,2008-05,-0.06017915686274511,-0.032571880392156874,-0.044283621568627446,
17,2008-06,-0.21780473076923074,-0.17043525384615382,-0.15870623269230769,
18,2008-07,0.029582589587700915,0.060342118553459126,0.07259547945492661,
19,2008-08,-0.1715007814814815,-0.15712345925925925,-0.15919240555555553,
20,2008-09,-0.06334304208754209,-0.03686319949494949,-0.07511228619528622,
21,2008-10,-0.25828952777777775,-0.20090565925925927,-0.19430670740740735,
22,2008-11,0.1602856872727272,0.0916112290909091,0.1045439309090909,
23,2008-12,-0.04108492909090909,0.14544250727272726,0.1307519909090909,
24,2009-01,0.12061519795918366,0.07854397142857143,0.10259906734693876,
25,2009-02,0.07430232456140351,0.030933338596491222,0.0035307929824561456,
26,2009-03,0.1525395403508772,0.15426335789473683,0.14448773859649122,
27,2009-04,-0.005900480357142857,0.06560757142857142,0.10766009821428572,
28,2009-05,0.050299643246753234,0.026790699383116883,0.021813879448051944,
29,2009-06,0.038943343859649114,0.042487989473684214,0.05411554912280703,
30,2009-07,0.1427479517857143,0.11841903928571429,0.10433161071428572,
31,2009-08,-0.18371639285714286,-0.12553058035714285,-0.08284429642857144,
32,2009-09,0.0009888892857142888,0.049174360714285714,0.06039526428571428,
33,2009-10,0.07157361454545452,0.1051990418181818,0.10007867090909092,
34,2009-11,0.10959824107142856,0.09923153035714286,0.11386347142857145,
35,2009-12,-0.007410158928571427,0.06433840892857143,0.03334264285714286,
36,2010-01,-0.06478506785714286,-0.014711201785714284,0.007859987500000002,
37,2010-02,0.0492454340425532,0.025506238297872345,0.023819806382978724,
38,2010-03,0.00497472960526316,0.0273485680764411,0.014434097337092732,
39,2010-04,-0.10560617719298246,-0.047035703508771926,-0.00166305438596491,
40,2010-05,-0.12927571724137932,-0.030691296551724142,-0.021637908620689657,
41,2010-06,-0.07060907413793104,-0.0405768,-0.06470919655172414,
42,2010-07,0.13589998333333336,0.08650809333333331,0.09190903166666665,
43,2010-08,-0.009155739344262299,0.07327296721311477,0.07777265245901638,
44,2010-09,-0.021919530512956108,-0.005222157191961929,0.0013676906398730803,
45,2010-10,0.0652338180327869,0.06516339016393444,0.06805566721311475,
46,2010-11,-0.0861640765625,0.07843602187500001,0.07677297500000001,
47,2010-12,-0.021509664615384613,-0.027426475384615383,-0.016346399999999997,
48,2011-01,-0.0046940621212121225,-0.08231920606060607,-0.07778109848484849,
49,2011-02,0.03533103571428572,0.04957967321428571,0.055717728571428586,
50,2011-03,0.011777841791044779,-0.06198109104477611,-0.043060697014925375,
51,2011-04,0.012821514705882352,-0.050089551470588245,-0.03044931176470588,
52,2011-05,-0.07451089142857144,-0.05806444571428573,-0.05207423428571429,
53,2011-06,0.010162482022691708,0.03704192965571205,0.032983609252738647,
54,2011-07,-0.04675572465753425,0.058674030136986306,0.0546172,
55,2011-08,-0.06099260945945946,0.012551508108108109,-0.0008131554054054049,
56,2011-09,-0.0966584157017544,-0.10019271089473686,-0.09483013664912278,
57,2011-10,0.020777981333333344,0.07378167599999999,0.060091636,
58,2011-11,-0.08625374545454545,-0.006156866233766238,-0.003484183116883118,
59,2011-12,-0.08105638461538463,-0.08684703461538462,-0.08568965897435894,
60,2012-01,0.03536691323529412,-0.0707801205882353,-0.06767600588235294,
61,2012-02,0.070507805,0.11927159625,0.10912025874999998,
62,2012-03,-0.07232263086419752,-0.04186516419753087,-0.030114269135802466,
63,2012-04,0.05750622393518518,0.027549225185185176,0.0348850637037037,
64,2012-05,-0.01935591463414634,0.05038865731707316,0.04341307560975609,
65,2012-06,-0.06801819390243902,-0.010071871951219514,0.014108549999999996,
66,2012-07,-0.07965736224899597,-0.06178941897590361,-0.03705628010613885,
67,2012-08,-0.03828798333333333,0.029740093347338938,0.0361317,
68,2012-09,-0.0030283094117647064,-0.003061622352941175,-0.01286600117647059,
69,2012-10,0.00948991882352941,0.00025455294117646804,-0.0016438047058823528,
70,2012-11,-0.036095096698743646,-0.11218389199411925,-0.10703296992782678,
71,2012-12,0.12361238604651166,0.1646252465116279,0.15267772209302322,
72,2013-01,0.037034882558139554,0.05393909534883722,0.06244004883720931,
73,2013-02,-0.01460469882352941,0.0537063105882353,0.04483808235294117,
74,2013-03,-0.07759672159090908,-0.007299801136363639,-0.004213836363636363,
75,2013-04,-0.037601939080459765,0.008754119540229886,0.009187297701149429,
